# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  2 09:54:08 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN ctoi_alias:     TESS Input Catalog of Interest Alias
# COLUMN pl_pnum:        Pipeline Signal ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
23,1020.01,1020,140706664,140706664.01,1,FP,08h33m31.67s,128.3819760,-43d49m42.32s,-43.8284210,-5.8140000,4.3280000,2458521.2910800,3.2889200,3.7930000,10518.9000000,,29832.6000000,3661.0000000,10.7173000,906.8270000,8734.2000000,4.1000000,,2019-07-24 17:08:12,2021-10-29 12:59:15
24,1021.01,1021,143994283,143994283.01,1,FP,07h57m12.18s,119.3007500,-42d59m56.94s,-42.9991490,-3.2110000,-15.0820000,2458492.9042900,1.9087900,1.9090000,618.4820000,3.3468800,985.8070000,1561.0000000,10.5551000,235.9740000,6022.6000000,4.5200000,1.2200000,2019-07-24 17:08:12,2021-10-29 12:59:15
25,1022.01,1022,47384844,47384844.01,1,FA,10h51m51.58s,162.9649100,-05d47m19.35s,-5.7887080,-15.7870000,-11.8490000,2458547.4480000,3.0957400,4.4750000,380.0000000,3.4262000,18087.9000000,3230.0000000,8.7292400,120.6660000,6084.0000000,4.1300000,1.4100000,2019-06-04 14:32:44,2023-06-06 12:02:56
26,1023.01,1023,238374636,238374636.01,1,FP,08h03m21.05s,120.8376880,-51d20m44.25s,-51.3456260,-23.3660000,22.6520000,2459303.3039690,1.3214483,3.4350000,2180.0000000,21.8839000,35623.2000000,3827.0000000,9.6970000,316.3980000,5050.8000000,3.5600000,2.9900000,2019-07-24 18:44:12,2021-12-07 16:02:02
27,1024.01,1024,141482386,141482386.01,1,FP,05h47m16.97s,86.8207140,-72d25m21.4s,-72.4226110,1.1280000,11.5630000,2458339.7227600,18.0157000,2.5240000,610.0000000,21.6440000,7.6436400,463.0000000,10.0814000,692.2660000,4709.0000000,,7.6100000,2019-07-24 18:44:12,2021-10-29 12:59:15
28,1025.01,1025,297967252,297967252.01,1,PC,09h30m05.08s,142.5211590,-51d31m01.61s,-51.5171140,-19.1530000,11.0460000,2458545.1498040,9.6837921,2.4006056,4238.2399008,,3176.3106916,1914.6989260,5.5324000,129.8380000,8598.7000000,,,2019-07-24 18:44:12,2024-09-15 12:02:47
29,1026.01,1026,388624270,388624270.01,1,FP,08h21m44.31s,125.4346340,-51d45m33.99s,-51.7594420,47.2280000,-6.3250000,2460720.8076740,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138000,105.6770000,5690.0000000,4.5800000,0.8538980,2019-06-11 14:45:00,2025-09-02 16:00:02
30,1027.01,1027,20318757,20318757.01,1,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,-87.5540000,12.9920000,2460037.8690500,3.2834565,1.5370000,1558.0000000,2.8764800,161.0920000,992.0000000,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000,2019-07-24 18:44:12,2023-06-05 12:03:22
31,1027.02,1027,20318757,20318757.02,2,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,-87.5540000,12.9920000,2460032.5332500,11.0287500,2.7150000,1694.0000000,2.7658600,15.0463000,548.0000000,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000,2021-06-03 22:37:59,2024-09-01 12:02:56
32,1027.03,1027,20318757,20318757.03,3,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,-87.5540000,12.9920000,2460032.5730400,5.0113292,1.0240000,1210.0000000,2.5231400,17.1793000,567.0000000,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000,2023-05-18 23:08:27,2023-06-05 12:03:22
33,1028.01,1028,447283466,447283466.01,1,FP,10h28m23.6s,157.0983370,-51d42m19.47s,-51.7054090,30.6500000,-33.9060000,2458544.4806600,1.0160600,2.8430000,240.0000000,1.2070400,2784.0400000,2023.0000000,7.9059000,23.7748000,4634.0000000,4.6400000,0.6800000,2019-07-24 18:44:12,2021-10-29 12:59:15
34,1029.01,1029,374908020,374908020.01,1,FP,05h54m57.38s,88.7390900,-65d57m31.82s,-65.9588390,,,2458365.8931300,36.2221400,5.1070000,7170.0000000,,,,6.8410000,,,,,2019-06-11 14:45:03,2021-12-07 16:02:02
35,103.01,103,336732616,336732616.01,1,KP,20h49m49.8s,312.4574880,-24d25m43.3s,-24.4286940,10.4260000,15.6200000,2458327.2525600,3.5478540,3.4943330,10424.3718000,14.5818410,1212.0043760,1504.8589530,11.5232000,411.2110000,6351.0000000,4.2289600,1.4000000,2018-09-05 18:49:20,2024-09-07 10:08:02
36,1030.01,1030,464296022,464296022.01,1,FP,10h23m19.55s,155.8314780,-57d35m24.89s,-57.5902480,-26.1840000,22.4890000,2460054.7839370,12.1246519,4.6120000,7279.0000000,17.6729000,207.3200000,1057.0000000,9.5706000,78.4127300,4807.6000000,4.1700000,1.0700000,2019-07-24 18:44:12,2023-05-31 10:10:01
37,1031.01,1031,304021498,304021498.01,1,FP,09h23m32.13s,140.8838900,-67d01m33.62s,-67.0260060,-23.9010000,3.0300000,2459304.8379390,5.6526230,3.4340000,1250.0000000,8.9435400,2717.0600000,2011.0000000,9.7318000,270.7710000,6415.4000000,3.9800000,1.9200000,2019-06-25 15:58:39,2024-09-19 10:08:01
38,1032.01,1032,146589986,146589986.01,1,PC,10h36m53.16s,159.2215060,-42d32m29.9s,-42.5416390,-15.1500000,6.4370000,2459283.8286850,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,9.7611000,587.1960000,10395.0000000,4.1300000,2.3383701,2019-07-24 18:44:12,2024-01-17 10:08:02
39,1033.01,1033,149601557,149601557.01,1,FP,05h49m07.82s,87.2825860,-60d29m54.4s,-60.4984440,8.9000000,20.7000000,2460195.1006480,29.0160175,5.3450000,1389.0000000,6.7740600,33.2234000,,10.0163000,219.9400000,6113.1000000,,2.0100000,2019-06-11 14:45:00,2025-06-03 16:00:01
40,1034.01,1034,400595342,400595342.01,1,FP,08h57m46.02s,134.4417520,-49d00m02.08s,-49.0005780,-4.8370000,4.1090000,2460768.6174270,3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.0980270,9.8174000,363.4400000,9810.0000000,4.4300000,1.6077600,2019-07-24 18:44:12,2025-09-05 10:08:01
41,1035.01,1035,361413119,361413119.01,1,PC,09h36m36.07s,144.1502730,-61d34m59.46s,-61.5831820,-9.5060000,16.8970000,2459286.8726050,6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,10.1126000,347.5560000,5964.0000000,3.7000000,2.4303801,2019-07-24 18:44:12,2025-07-09 16:00:02
42,1036.01,1036,146172354,146172354.01,1,PC,10h31m28.11s,157.8671120,-42d14m25.61s,-42.2404480,10.9920000,-57.7480000,2460037.1722730,3.7795212,2.9520000,2761.0000000,5.9837500,466.5280000,1294.0000000,10.2855000,184.0150000,5771.0000000,4.3100000,1.1800000,2019-07-24 18:44:12,2023-05-05 16:02:01
43,1037.01,1037,363260203,363260203.01,1,FP,09h49m32.44s,147.3851720,-63d18m23.32s,-63.3064780,-19.6870000,10.9530000,2459331.1245120,1.2025238,1.9910000,390.0000000,6.3110600,208477.0000000,5952.0000000,9.0211000,279.6980000,9158.0000000,4.3200000,1.7400000,2019-07-24 18:44:12,2024-09-07 10:08:02
44,1038.01,1038,90544017,90544017.01,1,FP,08h33m49.11s,128.4546380,-49d56m25.25s,-49.9403470,-15.5000000,7.0000000,2459273.3716430,3.2235985,2.1590000,680.0000000,5.5134100,2064.8000000,,8.7157000,280.7650000,8904.0000000,4.0900000,2.1700000,2019-07-24 18:44:12,2021-10-29 12:59:15
45,1039.01,1039,461867584,461867584.01,1,APC,09h58m45.25s,149.6885450,-58d45m37.63s,-58.7604530,-6.4340000,4.0980000,2460031.2166000,4.4201250,3.9560000,2466.0000000,,,,8.5483000,2864.3400000,,,,2019-07-24 18:44:12,2023-05-05 16:02:01
46,104.01,104,231670397,231670397.01,1,KP,21h19m47.93s,319.9496970,-58d08m56.16s,-58.1489330,10.5520000,-10.6580000,2460150.6086770,4.0872956,5.5861130,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638000,316.6780000,6036.0000000,3.9335900,2.2186699,2018-09-05 18:49:20,2023-10-16 16:02:02
47,1040.01,1040,310483807,310483807.01,1,FP,08h34m27.41s,128.6142100,-61d29m17.74s,-61.4882620,-11.7800000,6.7250000,2458520.6567400,2.5555500,1.5660000,340.0000000,11.5901000,3520.6800000,2145.0000000,8.3854000,732.4320000,10037.0000000,,6.0400000,2019-07-24 18:44:12,2021-10-29 12:59:15
48,1041.01,1041,385624852,385624852.01,1,FP,09h13m36.54s,138.4022520,-55d11m52.48s,-55.1979100,-14.1890000,14.2610000,2459261.8012160,8.3079200,3.2280000,8350.0000000,43.1068000,2276.2500000,1924.0000000,8.0981000,305.0340000,9081.0000000,3.8300000,3.0500000,2019-07-24 18:44:12,2021-10-29 12:59:15
49,1042.01,1042,360286627,360286627.01,1,PC,09h27m54.05s,141.9752150,-61d19m48.14s,-61.3300400,-11.5950000,3.1390000,2459281.3379560,0.7580820,1.8184632,583.9318100,10.1273702,216218.1005011,5499.7476332,9.7180000,792.6330000,9917.0000000,3.7500000,3.5086601,2019-07-24 18:44:12,2025-07-09 16:00:02
50,1043.01,1043,90448944,90448944.01,1,FP,08h33m12.56s,128.3023190,-52d42m51.13s,-52.7142020,-9.4960000,14.6590000,2459985.7704250,1.4415577,2.3490000,507.0000000,3.6107800,16861.8000000,3174.0000000,9.5719000,208.0550000,6902.0000000,4.2500000,1.5200000,2019-07-24 18:44:12,2024-09-09 10:08:01
51,1044.01,1044,463402815,463402815.01,1,PC,10h15m14.65s,153.8110230,-58d45m59.01s,-58.7663930,-14.4410000,6.2140000,2460037.1946720,1.0085089,1.6420000,3051.0000000,,,,10.0031000,494.6890000,5215.2000000,,,2019-07-24 18:44:12,2023-05-11 16:02:02
52,1045.01,1045,54044474,54044474.01,1,FP,10h39m33.05s,159.8877040,-32d30m42.77s,-32.5118800,-34.6090000,14.6670000,2459301.5441260,3.7039994,4.2770000,7590.0000000,17.5700000,3546.1300000,2149.0000000,9.6306000,300.6960000,7013.8000000,4.2100000,1.9000000,2019-07-24 18:44:12,2021-12-07 16:02:02
53,1046.01,1046,309787037,309787037.01,1,FP,08h25m40.67s,126.4194680,-60d54m27.05s,-60.9075140,-1.5360000,-9.9790000,2460177.8671950,1.3042553,1.7060000,914.0000000,9.3647200,26944.7000000,3569.0000000,10.0119000,301.2980000,6762.0000000,4.1100000,1.7500000,2019-07-24 18:44:12,2024-09-19 10:08:01
54,1047.01,1047,370745311,370745311.01,1,FP,09h38m19.57s,144.5815350,-67d30m18.35s,-67.5050970,-35.4120000,24.0840000,2458544.7906100,0.6262700,0.6660000,1880.0000000,5.7216200,3235.5700000,2101.0000000,10.2355000,134.9260000,5622.0000000,4.5000000,0.9300000,2019-07-24 18:44:12,2021-10-29 12:59:15
55,1048.01,1048,384549882,384549882.01,1,FP,09h06m06.65s,136.5277020,-54d54m14.12s,-54.9039220,-10.8630000,7.0630000,2458518.3760000,0.3041200,0.7480000,1330.0000000,10.4170000,280833.0000000,6413.0000000,8.8020000,440.4260000,11892.0000000,4.1400000,2.5200000,2019-07-24 18:44:12,2021-10-29 12:59:15
56,1049.01,1049,16288184,16288184.01,1,KP,16h55m04.52s,253.7688480,-28d42m38.1s,-28.7105840,-8.5680000,-5.5620000,2459363.8213930,2.1805277,2.9691750,16340.1353205,16.8088530,1770.4650539,1654.4040680,11.0657000,314.9950000,6599.0000000,4.2101700,1.2714601,2019-07-15 19:20:04,2022-03-30 16:02:02
57,105.01,105,144065872,144065872.01,1,KP,22h29m49.88s,337.4578240,-48d00m11.16s,-48.0030990,91.9760000,-6.8610000,2459084.5850100,2.1846669,2.8652800,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995000,137.5440000,5630.0000000,4.3775900,1.2382400,2018-09-05 18:49:20,2025-03-25 16:00:01
58,1050.01,1050,66818296,66818296.01,1,KP,15h59m50.94s,239.9622480,-28d03m42.46s,-28.0617940,-8.1000000,-9.6390000,2459355.5456300,3.7354838,4.1420000,17030.0000000,21.2315000,1292.1900000,1670.0000000,11.0261000,405.9080000,6650.0000000,4.1639000,1.5700000,2019-07-15 19:20:05,2022-10-05 10:10:01
59,1051.01,1051,259863352,259863352.01,1,FA,02h41m27.83s,40.3659390,-71d27m45.9s,-71.4627490,168.1700000,-56.0400000,2458657.7366250,21.7016690,8.2676424,211.6567325,2.3751494,52.0950000,685.2000000,7.1278000,53.1914900,5625.0000000,4.4380000,1.5648600,2019-08-16 20:20:45,2024-09-17 10:08:02
60,1052.01,1052,317060587,317060587.01,1,CP,22h30m02.47s,337.5102740,-75d38m47.62s,-75.6465610,-63.3270000,-1.9420000,2458332.9412290,9.1398040,3.0912936,358.4157801,3.0629855,243.0117630,1006.9932829,9.0197000,129.8040000,5958.2000000,4.3400000,1.5800000,2019-08-16 20:20:47,2023-07-24 12:03:31
61,1053.01,1053,112395568,112395568.01,1,FP,19h23m54.51s,290.9771170,-33d21m05.1s,-33.3514160,-18.6920000,-8.1920000,2458657.9991790,5.7426250,2.8602930,1105.7608670,13.0885320,,,8.8849000,263.7290000,5664.0000000,3.2657400,3.8695900,2019-08-16 20:20:42,2024-09-19 10:08:01
62,1054.01,1054,366989877,366989877.01,1,CP,20h08m27.4s,302.1141740,-54d19m03s,-54.3175010,1.5940000,-15.9030000,2460122.7001390,15.5077855,4.5650000,513.0000000,2.4343200,88.0718000,853.0000000,8.4362000,88.4343000,6122.0000000,4.3088100,1.1700000,2019-08-16 20:20:48,2023-09-14 16:02:01
63,1055.01,1055,320004517,320004517.01,1,CP,19h33m08.79s,293.2866150,-54d31m57.82s,-54.5327280,108.4390000,-82.6320000,2458661.0627110,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,8.0888000,57.2651000,5783.5400000,4.4992500,0.9746690,2019-08-16 20:20:47,2024-10-01 10:08:01
64,1056.01,1056,421894914,421894914.01,1,PC,22h37m02.09s,339.2587030,-76d55m03.38s,-76.9176050,9.7160000,-20.1680000,2458326.0624240,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,9.6663000,168.3540000,6124.3000000,4.3800000,1.3696300,2019-08-16 20:20:50,2024-03-14 16:54:32
65,1057.01,1057,323132914,323132914.01,1,PC,08h31m59.26s,127.9969170,-78d24m27.23s,-78.4075640,117.7210000,-24.5650000,2458607.3509010,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091000,98.2855000,5599.0000000,4.4613800,0.9433560,2019-08-16 20:20:47,2024-12-05 16:02:02
66,1058.01,1058,31553893,31553893.01,1,PC,19h15m38.83s,288.9117720,-31d47m26.93s,-31.7908130,3.2260000,-16.3230000,2458663.0231290,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,9.3781000,338.8310000,5785.0000000,4.3440000,3.4475601,2019-08-16 20:20:41,2024-04-25 10:08:01
67,1059.01,1059,380783252,380783252.01,1,PC,17h58m51.48s,269.7145030,-60d55m21.82s,-60.9227270,4.2970000,-207.4090000,2460106.3375190,9.4496506,2.0210000,19750.0000000,17.0216000,38.5799000,694.0000000,9.7825000,98.8783000,5509.0000000,4.3975800,0.9400000,2019-08-16 20:20:49,2023-10-16 16:02:02
68,106.01,106,38846515,38846515.01,1,KP,04h35m50.36s,68.9598160,-64d01m37.34s,-64.0270390,10.8450000,-0.4990000,2460201.6385830,2.8493825,3.5670000,8049.0000000,16.3869000,2005.8300000,1864.0000000,10.3157000,364.4110000,6900.0000000,4.4380000,1.7700000,2019-05-07 17:42:35,2023-11-16 16:02:02
69,1060.01,1060,101230735,101230735.01,1,APC,19h57m09.84s,299.2909950,-48d56m04.11s,-48.9344760,2.2240000,-14.6040000,2460149.5362260,2.0685633,0.3730000,502.0000000,3.8973900,24.4090000,619.0000000,9.6652000,128.4910000,5687.9000000,4.6000000,1.1400000,2019-08-16 20:20:42,2023-10-16 16:02:02
70,1061.01,1061,253990973,253990973.01,1,FP,18h58m45.34s,284.6889080,-41d14m32.94s,-41.2424830,24.9780000,-71.7900000,2458654.2532490,0.5409330,1.6743370,257.3474590,2.2850100,,,9.7345000,133.1710000,5525.0000000,4.2534200,1.2193500,2019-08-16 20:20:44,2021-10-29 12:59:15
71,1062.01,1062,299799658,299799658.01,1,CP,02h32m29.03s,38.1209680,-78d01m25.26s,-78.0236830,107.8470000,30.7320000,2460177.2004290,4.1150576,1.0800000,487.0000000,2.3005700,77.3573000,826.0000000,9.4780000,82.1733000,5394.0000000,4.5094200,0.8900000,2019-08-16 20:20:47,2023-10-16 16:02:02
72,1063.01,1063,406976746,406976746.01,1,PC,15h22m13.32s,230.5554930,-83d03m22.37s,-83.0562140,-89.1250000,-9.6000000,2458629.3916810,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689000,61.1201000,5552.0000000,4.6178300,0.7917420,2019-08-16 20:20:49,2025-07-09 16:00:02
